Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Карась;87;17800;1800;0;0.06;0.08;   .80;0.13;0;0.002;0.010;1.0;0.002;0.50;0.0001;30;220;25;0.9;0.005;265;70;0.70;0.012;0.07;0.05;0;0.03;200;50;0;0;30;77
Карп;127;17800;5500;0;0.14;0.07;02.   ;0.19;0;0.0015;0.020;01.   ;0.005;0.63;0.0002;52;210;29;0.6;0.002;333;49;0.90;0.015;0.07;0.03;0;0.02;400;150;0;0;70;75
Креветка;99;20900;1000;0;0.02;0.02;   .78;0.16;0;0.001;0.015;0;0;2.00;0.0003;70;230;39;0.51;0.035;259;119;   .34;0.040;0.21;0.05;0;0.01;540;28;0;0;20;77
Лещ;105;17200;4200;0;0.08;0.10;   .20;0.15;0;0.002;0.015;01.   ;0.003;0.50;0.0001;25;220;30;0.8;0.002;280;60;0.70;0.014;0.10;0.06;0;0.02;300;100;0;0;150;76
Семга;206;20000;13000;0;0.23;0.38;   .80;0.62;0;0.003;0.045;0;0.013;   .80;0.0005;15;260;29;0.8;0.05;363;59;0.64;0.036;0.25;0.02;0;0.03;2500;340;0;0;20;62
Минтай;79;15800;800;0;0.11;0.12;   .30;0.10;0;0.002;0.010;0;0.001;0.30;0.0001;40;180;25;0.4;0.015;300;90;0.50;0.025;0.05;0.01;0;0.02;200;50;0;0;30;81
Окунь речной;91;18700;1200;0;0.08;0.11;   .60;0.13;0;0.002;0.015;01.   ;0.001;0.50;0.0001;50;200;30;0.9;0.005;300;75;0.70;0.012;0.05;0.05;0;0.02;300;100;0;0;300;79
Осетр;164;16500;10000;0;0.10;0.15;   .50;0.20;0;0.003;0.030;0;0.008;   .20;0.0002;20;180;25;01.   ;0.02;350;80;0.80;0.025;0.10;0.03;0;0.03;1200;300;0;0;100;70
Палтус;186;18500;12000;0;0.06;0.08;6.00;0.35;0;0.001;0.025;0;0.005;0.80;0.0001;30;250;28;0.5;0.015;435;100;0.60;0.036;0.07;0.01;0;0.02;800;150;0;0;30;72
Скумбрия;262;18800;20000;0;0.12;0.36;   .70;0.40;0;0.008;0.045;0.4;0.016;   .60;0.0005;12;280;32;01.   ;0.045;314;90;0.94;0.044;0.09;0.02;0;0.03;2500;400;0;0;30;63
Судак;84;18400;800;0;0.08;0.11;   .50;0.15;0;0.002;0.010;1.0;0.002;0.50;0.0001;35;230;29;0.5;0.005;280;65;0.70;0.012;0.06;0.03;0;0.02;200;50;0;0;50;82
Треска;82;17800;700;0;0.09;0.07;   .30;0.25;0;0.001;0.010;1.0;0.001;0.64;0.0001;20;210;25;0.3;0.012;340;54;0.45;0.033;0.03;0.01;0;0.01;280;40;0;0;30;81
Тунец;144;23000;4800;0;0.25;0.25;   .70;0.50;0;0.002;0.065;0;0.005;1.00;0.0002;12;270;34;1.0;0.03;441;50;0.77;0.108;0.09;0.01;0;0.02;1600;220;0;0;200;70
Щука;88;18900;800;0;0.05;0.06;2.00;0.10;0;0.001;0.015;01.   ;0.001;0.50;0.0001;20;200;25;0.4;0.002;300;60;0.60;0.012;0.05;0.02;0;0.01;150;30;0;0;40;80
